#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Capsella rubella	81985	PRJNA13878	13878	Plants	Land Plants	133.064	35.9	GCA_000375325.1	-	ANNY01	773	26776	28713	2013/04/19	2014/08/11	Scaffold	DOE Joint Genome Institute	SAMN02981483
Aspergillus clavatus NRRL 1	344612	PRJNA15664	15664	Fungi	Ascomycetes	27.8594	49.2	GCA_000002715.1	-	AAKD03	143	9323	9121	2005/09/09	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953636
Aspergillus fischeri NRRL 181	331117	PRJNA15672	15672	Fungi	Ascomycetes	31.77	49.5	GCA_000149645.2	-	AAKE03	438	10599	10395	2005/09/09	2014/08/06	Scaffold	TIGR	SAMN02953637
Micromonas pusilla CCMP1545	564608	PRJNA15678	15678	Plants	Green Algae	21.9583	65.7	GCA_000151265.1	-	ACCP01	21	10248	10242	2009/04/07	2014/08/06	Scaffold	Micromonas Genome Consortium	SAMN02953743
Hevea brasiliensis	3981	PRJNA394253	394253	Plants	Land Plants	1373.53	35.7	GCA_001654055.1	chloroplast Pltd:NC_015308.1/HQ285842.1	LVXX01	7453	42390	58062	2016/06/01	2016/06/01	Scaffold	NCBI	SAMN04451765
Arabidopsis lyrata subsp. lyrata	81972	PRJNA41137	41137	Plants	Land Plants	206.823	37.5991	GCA_000004255.1	chloroplast Pltd:NC_034379.1/LC154068.1	ADBK01	696	34280	39161	2009/11/30	2014/08/11	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02981250
Pediculus humanus corporis	121224	PRJNA16223	16223	Animals	Insects	110.781	27.9	GCA_000006295.1	-	AAZO01	1882	10988	10775	2007/04/18	2014/08/06	Scaffold	The human body louse genome consortium	SAMN02953682
Ixodes scapularis	6945	PRJNA16232	16232	Animals	Other Animals	1765.38	46	GCA_000208615.1	-	ABJB01	369492	24163	20467	2008/01/16	2015/04/16	Scaffold	Ixodes scapularis Genome Project	SAMN03004382
Myotis lucifugus	59463	PRJNA16951	16951	Animals	Mammals	2034.58	42.7	GCA_000147115.1	-	AAPE02	11654	29200	41184	2006/06/01	2014/08/06	Scaffold	Broad Institute	SAMN02953645
Ricinus communis	3988	PRJNA16585	16585	Plants	Land Plants	350.622	34.4006	GCA_000151685.2	chloroplast Pltd:NC_016736.1/JF937588.1	AASG02	25763	22200	27998	2006/07/18	2014/08/06	Scaffold	J. Craig Venter Institute	SAMN02953659
Nectria haematococca mpVI 77-13-4	660122	PRJNA16586	16586	Fungi	Ascomycetes	51.2865	50.8	GCA_000151355.1	-	ACJF01	209	15708	15708	2009/08/24	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02746079
Carica papaya	3649	PRJNA20267	20267	Plants	Land Plants	370.419	39.0069	GCA_000150535.1	mitochondrion MT:NC_012116.1/EU431224.1; chloroplast Pltd:NC_010323.1/EU431223.1	ABIM01	17766	19933	26103	2008/04/23	2014/08/06	Scaffold	The Papaya Genome Sequencing Consortium	SAMN02953710
Oryzias latipes	8090	PRJNA16702	16702	Animals	Fishes	869.818	42.2741	GCA_000313675.1	chromosome 1:NC_019859.1/DG000001.5; chromosome 2:NC_019860.1/DG000002.5; chromosome 3:NC_019861.1/DG000003.5; chromosome 4:NC_019862.1/DG000004.5; chromosome 5:NC_019863.1/DG000005.5; chromosome 6:NC_019864.1/DG000006.5; chromosome 7:NC_019865.1/DG000007.5; chromosome 8:NC_019866.1/DG000008.5; chromosome 9:NC_019867.1/DG000009.5; chromosome 10:NC_019868.1/DG000010.5; chromosome 11:NC_019869.1/DG000011.5; chromosome 12:NC_019870.1/DG000012.5; chromosome 13:NC_019871.1/DG000013.5; chromosome 14:NC_019872.1/DG000014.5; chromosome 15:NC_019873.1/DG000015.5; chromosome 16:NC_019874.1/DG000016.5; chromosome 17:NC_019875.1/DG000017.5; chromosome 18:NC_019876.1/DG000018.5; chromosome 19:NC_019877.1/DG000019.5; chromosome 20:NC_019878.1/DG000020.5; chromosome 21:NC_019879.1/DG000021.5; chromosome 22:NC_019880.1/DG000022.5; chromosome 23:NC_019881.1/DG000023.5; chromosome 24:NC_019882.1/DG000024.5; mitochondrion MT:NC_004387.1/AP004421.1	BAAF04	7307	27528	40133	2006/04/11	2015/09/18	Chromosome	Medaka genome sequencing project	SAMD00036523
Theobroma cacao	3641	PRJEB14326	328106	Plants	Land Plants	324.88	34.9922	GCA_000208745.2	chromosome 1:NC_030850.1/LT594788.1; chromosome 2:NC_030851.1/LT594789.1; chromosome 3:NC_030852.1/LT594790.1; chromosome 4:NC_030853.1/LT594791.1; chromosome 5:NC_030854.1/LT594792.1; chromosome 6:NC_030855.1/LT594793.1; chromosome 7:NC_030856.1/LT594794.1; chromosome 8:NC_030857.1/LT594795.1; chromosome 9:NC_030858.1/LT594796.1; chromosome 10:NC_030859.1/LT594797.1; chloroplast Pltd:NC_014676.2/HQ244500.2	FLSQ01	431	24918	30854	2016/07/08	2016/07/08	Chromosome	CIRAD	SAMEA4028428
Phycomyces blakesleeanus NRRL 1555(-)	763407	PRJNA61391	61391	Fungi	Other Fungi	53.9392	35.9	GCA_001638985.2	-	AMYC01	80	16850	16543	2016/05/06	2016/05/06	Scaffold	DOE Joint Genome Institute	SAMN00189023
Ascosphaera apis ARSEF 7405	392613	PRJNA72725	72725	Fungi	Ascomycetes	20.3131	47	GCA_001636715.1	-	AZGZ01	82	6442	6442	2016/05/02	2016/05/02	Scaffold	Shanghai Institutes for Biological Sciences, CAS	SAMN04908326
Laccaria bicolor S238N-H82	486041	PRJNA19043	19043	Fungi	Basidiomycetes	64.8774	47.1	GCA_000143565.1	-	ABFE01	665	18264	18215	2007/11/29	2014/08/01	Scaffold	Laccaria Genome Consortium	SAMN02769624
Bemisia tabaci	7038	PRJNA352527	352527	Animals	Insects	615.017	39.8996	GCA_001854935.1	mitochondrion MT:NC_006279.1/AY521259.2	MAMS01	19751	15153	22737	2016/10/26	2016/10/26	Scaffold	NCBI	SAMN04500967
Vigna radiata var. radiata	3916	PRJNA301363	301363	Plants	Land Plants	463.638	34.3983	GCA_000741045.2	chromosome 1:NC_028351.1/CM003504.1; chromosome 2:NC_028352.1/CM003505.1; chromosome 3:NC_028353.1/CM003506.1; chromosome 4:NC_028354.1/CM003507.1; chromosome 5:NC_028355.1/CM003508.1; chromosome 6:NC_028356.1/CM003509.1; chromosome 7:NC_028357.1/CM003510.1; chromosome 8:NC_028358.1/CM003511.1; chromosome 9:NC_028359.1/CM003512.1; chromosome 10:NC_028360.1/CM003513.1; chromosome 11:NC_028361.1/CM003514.1; mitochondrion MT:NC_015121.1/HM367685.1; chloroplast Pltd:NC_013843.1/GQ893027.1	JJMO01	2499	29100	35143	2014/08/18	2015/10/28	Chromosome	NCBI	SAMN02720863
Taenia solium	6204	PRJNA170813	170813	Animals	Flatworms	129.811	43	GCA_001870725.1	-	MIEF01	13131	-	-	2016/11/07	2016/11/07	Scaffold	Taenia solium Genome Consortium	SAMN01090682
Callorhinchus milii	7868	PRJNA18361	18361	Animals	Fishes	974.499	42.5998	GCA_000165045.2	mitochondrion MT:NC_014285.1/HM147137.1	AAVX02	21204	33094	28237	2007/01/05	2013/12/20	Scaffold	Institute of Molecular and Cell Biology, Singapore	SAMN00000800
Chlorella variabilis	554065	PRJNA45853	45853	Plants	Green Algae	46.1595	65.5	GCA_000147415.1	-	ADIC01	414	9780	9780	2010/08/31	2014/08/01	Scaffold	JGI	SAMN02744065
Brachypodium distachyon	15368	PRJNA32607	32607	Plants	Land Plants	272.133	46.436	GCA_000005505.2	chromosome 1:NC_016131.2/CM000880.2; chromosome 2:NC_016132.2/CM000881.2; chromosome 3:NC_016133.2/CM000882.2; chromosome 4:NC_016134.2/CM000883.2; chromosome 5:NC_016135.2/CM000884.2; chloroplast Pltd:NC_011032.1/EU325680.1	ADDN02	28	29057	33944	2010/02/10	2015/10/29	Chromosome	The International Brachypodium Initiative	SAMN02981254
Enterocytozoon bieneusi H348	481877	PRJNA21011	21011	Fungi	Other Fungi	3.86074	33.7	GCA_000209485.1	-	ABGB01	1733	3731	3632	2007/12/05	2014/08/04	Scaffold	Tufts Cummings School of Veterinary Medicine	SAMN00017218
Melitaea cinxia	113334	PRJNA191594	191594	Animals	Insects	389.908	33.6995	GCA_000716385.1	mitochondrion MT:CM002851.1	APLT01	8261	-	-	2014/06/26	2014/09/25	Scaffold	University of Helsinki	SAMN01932438
Pyrenophora tritici-repentis Pt-1C-BFP	426418	PRJNA18815	18815	Fungi	Ascomycetes	37.9975	50.8	GCA_000149985.1	-	AAXI01	48	12299	12169	2007/04/10	2014/08/06	Scaffold	Broad Institute	SAMN02953676
Fusarium oxysporum f. sp. lycopersici 4287	426428	PRJNA18813	18813	Fungi	Ascomycetes	61.3869	48.4264	GCA_000149955.2	chromosome 1:NC_030986.1/CM000589.1; chromosome 2:NC_030987.1/CM000590.1; chromosome 3:NC_030988.1/CM000591.1; chromosome 4:NC_030989.1/CM000592.1; chromosome 5:NC_030990.1/CM000593.1; chromosome 6:NC_030991.1/CM000594.1; chromosome 7:NC_030992.1/CM000595.1; chromosome 8:NC_030993.1/CM000596.1; chromosome 9:NC_030994.1/CM000597.1; chromosome 10:NC_030995.1/CM000598.1; chromosome 11:NC_030996.1/CM000599.1; chromosome 12:NC_030997.1/CM000600.1; chromosome 13:NC_030998.1/CM000601.1; chromosome 14:NC_030999.1/CM000602.2; chromosome 15:NC_031000.1/CM000603.1	AAXH01	114	21326	27347	2007/04/10	2015/08/20	Chromosome	Broad Institute	SAMN02953675
Chlorella vulgaris	3077	PRJNA278897	278897	Plants	Green Algae	37.3422	61.5	GCA_001021125.1	-	LDKB01	3600	-	-	2015/06/05	2015/06/05	Scaffold	National Renewable Energy Laboratory	SAMN03453227
Malassezia globosa CBS 7966	425265	PRJNA18719	18719	Fungi	Basidiomycetes	8.95812	52.1	GCA_000181695.1	-	AAYY01	67	4286	4286	2007/11/02	2014/08/06	Contig	The Procter & Gamble Company	SAMN02953680
Anolis carolinensis	28377	PRJNA18787	18787	Animals	Reptiles	1799.14	40.8238	GCA_000090745.2	chromosome 1:NC_014776.1/CM000937.1; chromosome 2:NC_014777.1/CM000938.1; chromosome 3:NC_014778.1/CM000939.1; chromosome 4:NC_014779.1/CM000940.1; chromosome 5:NC_014780.1/CM000941.1; chromosome 6:NC_014781.1/CM000942.1; linkage group a:NC_014782.1/CM000943.1; linkage group b:NC_014783.1/CM000944.1; linkage group c:NC_014784.1/CM000945.1; linkage group d:NC_014785.1/CM000946.1; linkage group f:NC_014786.1/CM000947.1; linkage group g:NC_014787.1/CM000948.1; linkage group h:NC_014788.1/CM000949.1; mitochondrion MT:NC_010972.2/EU747728.2	AAWZ02	6646	22092	34827	2007/02/15	2014/08/11	Chromosome	Broad Institute	SAMN02981230
Monosiga brevicollis MX1	431895	PRJNA19045	19045	Protists	Other Protists	41.7099	54.3258	GCA_000002865.1	mitochondrion MT:NC_004309.1/AF538053.1	ABFJ01	219	9233	9203	2007/11/20	2014/08/06	Scaffold	DOE Joint Genome Institute	SAMN02953695
Vanderwaltozyma polyspora DSM 70294	436907	PRJNA19237	19237	Fungi	Ascomycetes	14.6746	33	GCA_000150035.1	-	AAZN01	281	5762	5367	2007/04/25	2014/08/06	Scaffold	Trinity College Dublin, Ireland	SAMN02953681
Malassezia restricta	76775	PRJNA286710	286710	Fungi	Basidiomycetes	7.26022	55.8	GCA_001264725.1	-	LFCZ01	69	-	-	2015/08/11	2015/08/11	Scaffold	Genome Institute of Singapore	SAMN03774878
Talaromyces stipitatus ATCC 10500	441959	PRJNA19557	19557	Fungi	Ascomycetes	35.6854	46.1	GCA_000003125.1	-	ABAS01	820	12566	13252	2007/05/16	2015/02/24	Scaffold	J. Craig Venter Institute	SAMN02953686
Talaromyces marneffei ATCC 18224	441960	PRJNA19555	19555	Fungi	Ascomycetes	28.6439	46.7	GCA_000001985.1	-	ABAR01	452	10129	10638	2007/05/16	2015/02/24	Scaffold	J. Craig Venter Institute	SAMN02953685
Leishmania braziliensis MHOM/BR/75/M2904	420245	PRJEA18663	18663	Protists	Kinetoplasts	32.0688	57.7282	GCA_000002845.2	chromosome 36:NC_009327.2/FR799010.1; chromosome 1:NC_009294.2/FR798975.1; chromosome 2:NC_009295.2/FR798976.1; chromosome 3:NC_009296.2/FR798977.1; chromosome 4:NC_009297.2/FR798978.1; chromosome 5:NC_009298.2/FR798979.1; chromosome 6:NC_009276.2/FR798980.1; chromosome 7:NC_009299.2/FR798981.1; chromosome 8:NC_009300.2/FR798982.1; chromosome 9:NC_009301.2/FR798983.1; chromosome 10:NC_009302.2/FR798984.1; chromosome 11:NC_009303.2/FR798985.1; chromosome 12:NC_009304.2/FR798986.1; chromosome 13:NC_009305.2/FR798987.1; chromosome 14:NC_009306.2/FR798988.1; chromosome 15:NC_009307.2/FR798989.1; chromosome 16:NC_009308.2/FR798990.1; chromosome 17:NC_009309.2/FR798991.1; chromosome 18:NC_009310.2/FR798992.1; chromosome 19:NC_009311.2/FR798993.1; chromosome 21:NC_009313.2/FR798996.1; chromosome 22:NC_009314.2/FR798997.1; chromosome 23:NC_009315.2/FR798998.1; chromosome 24:NC_009316.2/FR798999.1; chromosome 25:NC_009317.2/FR799000.1; chromosome 26:NC_009318.2/FR799001.1; chromosome 27:NC_009319.2/FR799002.1; chromosome 28:NC_009320.2/FR799003.1; chromosome 29:NC_009321.2/FR799004.1; chromosome 30:NC_009322.2/FR799005.1; chromosome 31:NC_009323.2/FR799006.1; chromosome 32:NC_009324.2/FR799007.1; chromosome 33:NC_009325.2/FR799008.1; chromosome 35:NC_009326.2/FR799009.1	CADA01	138	8460	8160	2007/04/04	2015/03/21	Chromosome	The Sanger Institute	SAMEA2272271
Postia placenta Mad-698-R	561896	PRJNA19789	19789	Fungi	Basidiomycetes	90.8919	52.7	GCA_000006255.1	-	ABWF01	1242	9087	9083	2009/01/13	2014/08/04	Scaffold	DOE Joint Genome Institute	SAMN00113321
Fundulus heteroclitus	8078	PRJNA286680	286680	Animals	Fishes	1021.9	41.2	GCA_000826765.1	mitochondrion MT:NC_012312.1/FJ445402.1	JXMV01	10180	25849	38234	2015/01/20	2015/01/21	Scaffold	NCBI	SAMN03277211
Trichoderma virens Gv29-8	413071	PRJNA19983	19983	Fungi	Ascomycetes	39.0227	49.2	GCA_000170995.2	-	ABDF02	93	12405	12406	2007/07/17	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02744059
Trichoderma atroviride IMI 206040	452589	PRJNA19867	19867	Fungi	Ascomycetes	36.1437	49.7	GCA_000171015.2	-	ABDG02	29	11810	11816	2007/07/17	2014/08/01	Contig	DOE Joint Genome Institute	SAMN02744066
Pteropus vampyrus	132908	PRJNA20325	20325	Animals	Mammals	2198.28	40.5	GCA_000151845.2	-	ABRP02	36094	23423	33311	2008/09/12	2014/12/05	Scaffold	Baylor College of Medicine	SAMN02894360
Lutzomyia longipalpis	7200	PRJNA20279	20279	Animals	Insects	154.229	35.9	GCA_000265325.1	-	AJWK01	11532	-	-	2012/06/07	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00008955
Nasonia giraulti	7426	PRJNA20223	20223	Animals	Insects	283.607	44.3	GCA_000004775.1	-	ADAO01	4912	-	-	2009/11/10	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00003081
Nasonia longicornis	7427	PRJNA20225	20225	Animals	Insects	285.726	44.1	GCA_000004795.1	-	ADAP01	5214	-	-	2009/11/11	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00003080
Capsaspora owczarzaki ATCC 30864	595528	PRJNA20341	20341	Protists	Other Protists	27.9678	53.7	GCA_000151315.2	-	ACFS02	84	8793	8792	2009/08/05	2015/03/06	Scaffold	Broad Institute	SAMN02953747
Hypsibius dujardini	232323	PRJNA360553	360553	Animals	Other Animals	104.155	44.5	GCA_002082055.1	-	MTYJ01	1421	20089	20853	2017/04/07	2017/06/09	Scaffold	Keio University	SAMN06212344
Tursiops truncatus	9739	PRJNA20367	20367	Animals	Mammals	2551.42	42.1	GCA_000151865.3	-	ABRN02	240558	-	-	2008/09/23	2015/04/20	Scaffold	Baylor College of Medicine	SAMN00000070
Galeopterus variegatus	482537	PRJNA20511	20511	Animals	Mammals	3187.66	41.2	GCA_000696425.1	mitochondrion MT:NC_004031.1/AJ428849.1	JMZW01	179514	28608	32104	2014/05/23	2014/06/05	Scaffold	Washington University (WashU)	SAMN01758971
Arthroderma otae CBS 113480	554155	PRJNA30939	30939	Fungi	Ascomycetes	23.2631	47.5	GCA_000151145.1	-	ABVF01	17	8847	8765	2008/10/15	2014/08/06	Scaffold	Broad Institute	SAMN02953735
Trichophyton equinum CBS 127.97	559882	PRJNA20577	20577	Fungi	Ascomycetes	24.1582	47.3	GCA_000151175.1	-	ABWI01	125	8785	8676	2008/10/15	2014/08/06	Scaffold	Broad Institute	SAMN02953737
Trichophyton tonsurans CBS 112818	647933	PRJNA38223	38223	Fungi	Ascomycetes	22.9886	48.1	GCA_000151455.1	-	ACPI01	111	8625	8521	2009/08/07	2014/08/06	Scaffold	Broad Institute	SAMN02953761
Trichophyton rubrum CBS 118892	559305	PRJNA38221	38221	Fungi	Ascomycetes	22.53	48.3	GCA_000151425.1	-	ACPH01	36	8804	8706	2009/09/16	2014/08/26	Scaffold	Broad Institute	SAMN02953760
Microcebus murinus	30608	PRJNA19967	19967	Animals	Mammals	2487.41	41.3423	GCA_000165445.3	chromosome 1:NC_033660.1/CM007661.1; chromosome 2:NC_033661.1/CM007662.1; chromosome 3:NC_033662.1/CM007663.1; chromosome 4:NC_033663.1/CM007664.1; chromosome 5:NC_033664.1/CM007665.1; chromosome 6:NC_033665.1/CM007666.1; chromosome 7:NC_033666.1/CM007667.1; chromosome 8:NC_033667.1/CM007668.1; chromosome 9:NC_033668.1/CM007669.1; chromosome 10:NC_033669.1/CM007670.1; chromosome 11:NC_033670.1/CM007671.1; chromosome 12:NC_033671.1/CM007672.1; chromosome 13:NC_033672.1/CM007673.1; chromosome 14:NC_033673.1/CM007674.1; chromosome 15:NC_033674.1/CM007675.1; chromosome 16:NC_033675.1/CM007676.1; chromosome 17:NC_033676.1/CM007677.1; chromosome 18:NC_033677.1/CM007678.1; chromosome 19:NC_033678.1/CM007679.1; chromosome 20:NC_033679.1/CM007680.1; chromosome 21:NC_033680.1/CM007681.1; chromosome 22:NC_033681.1/CM007682.1; chromosome 23:NC_033682.1/CM007683.1; chromosome 24:NC_033683.1/CM007684.1; chromosome 25:NC_033684.1/CM007685.1; chromosome 26:NC_033685.1/CM007686.1; chromosome 27:NC_033686.1/CM007687.1; chromosome 28:NC_033687.1/CM007688.1; chromosome 29:NC_033688.1/CM007689.1; chromosome 30:NC_033689.1/CM007690.1; chromosome 31:NC_033690.1/CM007691.1; chromosome 32:NC_033691.1/CM007692.1; chromosome X:NC_033692.1/CM007693.1; mitochondrion MT:NC_028718.1/KR911908.1	ABDC03	7678	31854	59023	2007/07/20	2017/02/06	Chromosome	Broad Institute	SAMN06275470
Dictyocaulus viviparus	29172	PRJNA72587	72587	Animals	Roundworms	160.964	35	GCA_000816705.1	-	AZAF01	7157	14418	14171	2015/01/07	2016/03/03	Scaffold	The Genome Institute	SAMN02873952
Oesophagostomum dentatum	61180	PRJNA72579	72579	Animals	Roundworms	443.017	42.8	GCA_000797555.1	-	JOOK01	64255	25508	25289	2014/12/05	2014/12/15	Scaffold	The Genome Institute	SAMN02866218
Limulus polyphemus	6850	PRJNA20489	20489	Animals	Other Animals	1828.27	34.5	GCA_000517525.1	mitochondrion MT:NC_003057.1/AF216203.1	AZTN01	286793	26051	38682	2013/12/30	2014/08/06	Scaffold	Washington University (WashU)	SAMN02953878
Priapulus caudatus	37621	PRJNA20497	20497	Animals	Other Animals	511.738	45.6996	GCA_000485595.2	mitochondrion MT:NC_008557.1/DQ463747.1	AXZU02	59587	17109	20692	2013/10/25	2015/11/19	Scaffold	Washington University (WashU)	SAMN02953874
Strigamia maritima	126957	PRJNA20501	20501	Animals	Other Animals	176.211	35.8	GCA_000239455.1	-	AFFK01	14739	-	-	2011/12/22	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00009008
Bubalus bubalis	89462	PRJNA223666	223666	Animals	Mammals	2836.17	42.2	GCA_000471725.1	mitochondrion MT:NC_006295.1/AY702618.1	AWWX01	366983	28453	41499	2013/09/27	2013/09/30	Scaffold	NCBI	SAMN02191888
Nannizzia gypsea CBS 118893	535722	PRJNA20599	20599	Fungi	Ascomycetes	23.2729	48.4	GCA_000150975.2	-	ABQE01	19	9029	8921	2008/07/25	2015/07/16	Scaffold	Broad Institute	SAMN02953728
Mortierella verticillata NRRL 6337	1069443	PRJNA20603	20603	Fungi	Other Fungi	41.9129	48.8706	GCA_000739165.1	mitochondrion MT:CM002878.1	AEVJ01	56	12774	12595	2014/08/12	2014/08/15	Scaffold	Broad Institute	SAMN00699802
Dipodomys ordii	10020	PRJNA20385	20385	Animals	Mammals	2236.37	42.6	GCA_000151885.2	-	ABRO02	65193	23266	29351	2008/09/18	2014/12/12	Scaffold	Baylor College of Medicine	SAMN02900551
Macaca fascicularis	9541	PRJNA20409	20409	Animals	Mammals	2946.84	41.3398	GCA_000364345.1	chromosome 1:NC_022272.1/CM001919.1; chromosome 2:NC_022273.1/CM001920.1; chromosome 3:NC_022274.1/CM001921.1; chromosome 4:NC_022275.1/CM001922.1; chromosome 5:NC_022276.1/CM001923.1; chromosome 6:NC_022277.1/CM001924.1; chromosome 7:NC_022278.1/CM001925.1; chromosome 8:NC_022279.1/CM001926.1; chromosome 9:NC_022280.1/CM001927.1; chromosome 10:NC_022281.1/CM001928.1; chromosome 11:NC_022282.1/CM001929.1; chromosome 12:NC_022283.1/CM001930.1; chromosome 13:NC_022284.1/CM001931.1; chromosome 14:NC_022285.1/CM001932.1; chromosome 15:NC_022286.1/CM001933.1; chromosome 16:NC_022287.1/CM001934.1; chromosome 17:NC_022288.1/CM001935.1; chromosome 18:NC_022289.1/CM001936.1; chromosome 19:NC_022290.1/CM001937.1; chromosome 20:NC_022291.1/CM001938.1; chromosome X:NC_022292.1/CM001939.1; mitochondrion MT:NC_012670.1/FJ906803.1	AQIA01	7625	33107	62703	2013/05/20	2013/06/12	Chromosome	Washington University (WashU)	SAMN00811240
Necator americanus	51031	PRJNA72135	72135	Animals	Roundworms	244.075	41.3	GCA_000507365.1	-	ANCG01	11864	19472	19153	2013/12/13	2014/08/06	Scaffold	The Genome Institute at Washington University	SAMN02953824
Ochotona princeps	9978	PRJNA74593	74593	Animals	Mammals	2229.84	44	GCA_000292845.1	mitochondrion MT:NC_005358.1/AJ537415.1	ALIT01	10421	21374	25691	2012/08/13	2013/11/01	Scaffold	Broad Institute	SAMN00767999
Ascogregarina taiwanensis	158379	PRJNA27765	27765	Protists	Apicomplexans	6.14941	49.7	GCA_000172235.1	-	ABJQ01	5379	-	-	2010/01/28	2014/08/06	Contig	University of Minnesota	SAMN02953717
Hemiselmis andersenii	464988	PRJNA27761	27761	Protists	Other Protists	0.632425	25.5344	GCA_000018645.1	chromosome 1:NC_009977.1/CP000881.1; chromosome 2:NC_009978.1/CP000882.1; chromosome 3:NC_009979.1/CP000883.1; mitochondrion MT:NC_010637.1/EU651892.1	-	4	599	515	2007/11/09	2008/07/15	Chromosome	Dalhousie University, Canada	-
Cryptosporidium muris RN66	441375	PRJNA19553	19553	Protists	Apicomplexans	9.24525	28.5	GCA_000006515.1	-	AAZY02	84	3981	3934	2007/05/09	2014/08/06	Scaffold	TIGR	SAMN02953683
Heterodera glycines	51029	PRJNA28939	28939	Animals	Roundworms	81.908	37.5	GCA_000150805.1	-	ABLA01	34708	-	-	2008/03/20	2014/08/06	Scaffold	Monsanto	SAMN02953723
Bigelowiella natans CCMP2755	753081	PRJNA47111	47111	Other	Other	91.4059	44.9	GCA_000320545.1	-	ADNK01	3736	-	-	2012/11/02	2014/08/04	Contig	DOE Joint Genome Institute	SAMN00765207
Blumeria graminis f. sp. hordei DH14	546991	PRJNA28821	28821	Fungi	Ascomycetes	118.726	45.4	GCA_000151065.3	-	CAUH01	6843	7061	6495	2013/04/18	2015/01/30	Scaffold	Blumeria Genome Sequencing Consortium	SAMEA3138301
Moniliophthora perniciosa FA553	554373	PRJNA28951	28951	Fungi	Basidiomycetes	26.6633	47.7	GCA_000183025.1	-	ABRE01	25056	13973	13560	2008/12/02	2015/11/09	Contig	Universidade Estadual de Campinas (UNICAMP), Brazil	SAMN02953729
Agaricus bisporus var. burnettii JB137-S8	597362	PRJNA61007	61007	Fungi	Basidiomycetes	32.6144	46.7	GCA_000300555.1	-	AEOL01	2016	11455	11278	2012/10/01	2014/08/04	Scaffold	JGI	SAMN00188834
Alternaria brassicicola ATCC 96836	622360	PRJNA34523	34523	Fungi	Ascomycetes	29.5365	50.7	GCA_000174375.1	-	ACIW01	3280	-	-	2009/03/10	2014/08/06	Contig	Washington University Genome Center (WUGC)	SAMN02953751
Diaphorina citri	121845	PRJNA29447	29447	Animals	Insects	485.705	38.5	GCA_000475195.1	-	AWGM01	161988	19661	20622	2013/09/29	2013/10/22	Scaffold	International Psyllid Genome Consortium	SAMN00100712
Daucus carota subsp. sativus	79200	PRJNA326436	326436	Plants	Land Plants	421.539	36.0434	GCA_001625215.1	chromosome 1:NC_030381.1/CM004278.1; chromosome 2:NC_030382.1/CM004279.1; chromosome 3:NC_030383.1/CM004280.1; chromosome 4:NC_030384.1/CM004281.1; chromosome 5:NC_030385.1/CM004282.1; chromosome 6:NC_030386.1/CM004283.1; chromosome 7:NC_030387.1/CM004284.1; chromosome 8:NC_030388.1/CM004285.1; chromosome 9:NC_030389.1/CM004286.1; chloroplast Pltd:NC_008325.1/DQ898156.1; plastid Pltd:CM004358.1; mitochondrion MT:NC_017855.1/JQ248574.1	LNRQ01	4826	36299	44740	2016/04/20	2016/05/27	Chromosome	NCBI	SAMN03216637
Verticillium dahliae VdLs.17	498257	PRJNA28529	28529	Fungi	Ascomycetes	33.9003	55.6	GCA_000150675.2	-	ABJE01	55	10811	10535	2008/03/18	2014/08/06	Scaffold	Broad Institute	SAMN02953716
Trichophyton benhamiae CBS 112371	663331	PRJNA30573	30573	Fungi	Ascomycetes	22.2242	48.7	GCA_000151125.2	-	ABSU01	68	8035	7974	2010/03/17	2014/08/06	Contig	Arthroderma Genome Sequencing Consortium	SAMN02953733
Cordyceps brongniartii RCEF 3172	1081107	PRJNA72729	72729	Fungi	Ascomycetes	32.516	51.5	GCA_001636735.1	-	AZHA01	241	9595	9595	2016/05/04	2016/05/04	Scaffold	Shanghai Institutes for Biological Sciences, CAS	SAMN04908327
Vicugna pacos	30538	PRJNA30567	30567	Animals	Mammals	2172.21	41.7	GCA_000164845.3	mitochondrion MT:NC_002504.1/Y19184.1	ABRR02	276725	24553	33208	2008/09/24	2014/08/04	Scaffold	Washington University (WashU)	SAMN01096418
Beauveria bassiana ARSEF 2860	655819	PRJNA38719	38719	Fungi	Ascomycetes	33.6978	51.5	GCA_000280675.1	-	ADAH01	237	10364	10364	2012/07/18	2014/08/11	Scaffold	Zhejiang University, China	SAMN02981247
Choloepus hoffmanni	9358	PRJNA30809	30809	Animals	Mammals	3286.01	40	GCA_000164785.2	-	ABVD02	269084	-	-	2008/09/15	2014/09/30	Scaffold	Broad Institute	SAMN02146716
Pleurotus ostreatus PC15	1137138	PRJNA81933	81933	Fungi	Basidiomycetes	34.3427	50.9	GCA_000697685.1	-	AYUK01	12	12460	12296	2014/06/03	2014/07/02	Scaffold	JGI	SAMN02746102
